file_id	md5	size	urls	sample_id
d39c1941c8f6e8b0f6ead5d7f738db93	aab37dc4d6aa0f963a587f3a12af4342	20987	fasp://aspera2.ihmpdcc.org/ibd/metatranscriptome/microbiome/analysis/ESM5MEA7_P_pathcoverage.tsv	d39c1941c8f6e8b0f6ead5d7f705b0de
d39c1941c8f6e8b0f6ead5d7f7391b20	4a3223a62dd51450689ea5449bcca5c8	67236	fasp://aspera2.ihmpdcc.org/ibd/metatranscriptome/microbiome/analysis/HSM5FZBP_P_pathabundance.tsv	d39c1941c8f6e8b0f6ead5d7f70842c1
cad5930efe6763b64b3ccf1cd67b2c5e	e5c3b6adf600cace0d761d1cc5710ea3	95207	fasp://aspera2.ihmpdcc.org/ibd/proteome/microbiome/analysis/CSM5MCYO_kos.tsv	cad5930efe6763b64b3ccf1cd67b0864
5994274eae30475ead69bfe27a1768d9	1a146c8fb398d007a9227fce63e29576	131681	fasp://aspera2.ihmpdcc.org/ibd/genome/microbiome/wgs/analysis/hmscp/CSM5MCYO_P_taxonomic_profile.tsv	cad5930efe6763b64b3ccf1cd67b0864
56bda9b020293b4b1d65e1eb2528a4f3	3cf7866dd7c9d6d094ad648cb00175c6	41962	fasp://aspera2.ihmpdcc.org/ibd/genome/microbiome/wgs/analysis/hmscp/HSM6XRUL.tsv	1419f08f554e0c93f3b62fe90cb61351
216b55a2f235085126ee6210d62d8bde	9359c6ec8509af3b9d1d64f79c69cd48	687449	fasp://aspera2.ihmpdcc.org/ibd/transcriptome/host/analysis/MSM5LWKW.tsv	216b55a2f235085126ee6210d60a9f21
e85a36182291e14f07e89efdce7430d3	4522da9fc0076224d9ca01d08630ec66	1404762	fasp://aspera2.ihmpdcc.org/ibd/metabolome/microbiome/analysis/HSMA33M8_C8_pos.tsv	1419f08f554e0c93f3b62fe90ce5c768
cad5930efe6763b64b3ccf1cd67e3e11	4cba6629bdf726edbe9000b6aed5fe39	40161	fasp://aspera2.ihmpdcc.org/ibd/genome/microbiome/wgs/analysis/hmmrc/CSM79HPM_ecs.tsv	cad5930efe6763b64b3ccf1cd67e0e51
cad5930efe6763b64b3ccf1cd6940d8e	c50f2295e53f24ae70383d6ccabace22	2246367	fasp://aspera2.ihmpdcc.org/ibd/proteome/microbiome/analysis/ESM5MEAD_1pep_5p_FDR_5ppm.tsv	cad5930efe6763b64b3ccf1cd693eea2
cad5930efe6763b64b3ccf1cd6c4cd2d	f5430df8448a27a927383aa4b5d078d2	1056883	fasp://aspera2.ihmpdcc.org/ibd/proteome/microbiome/analysis/MSM79H6B_1pep_1p_FDR_5ppm.tsv	7cfd74d6803ea319683df7564405d6bd
cad5930efe6763b64b3ccf1cd6a48145	a9eeca9a79888ed23a4b4a60b98e8fd1	95152	fasp://aspera2.ihmpdcc.org/ibd/proteome/microbiome/analysis/HSM6XRVK_kos.tsv	1419f08f554e0c93f3b62fe90c8bfb8f
cad5930efe6763b64b3ccf1cd693d2e7	5e608e136db5d026e720f56ac943b8af	1054026	fasp://aspera2.ihmpdcc.org/ibd/proteome/microbiome/analysis/ESM5MEBL_1pep_1p_FDR_5ppm.tsv	cad5930efe6763b64b3ccf1cd69384ab
e85a36182291e14f07e89efdceb3965d	691842d037e57050b4521435c5da13fe	1393271	fasp://aspera2.ihmpdcc.org/ibd/metabolome/microbiome/analysis/PSMA266C_C8_pos.tsv	7cfd74d6803ea319683df756449cb468
